tconst	directors
tt0015324	nm0000036
tt0016332	nm0000036
tt0017925	nm0000036
tt0017925	nm0115669
tt0019421	nm0718469
tt0019421	nm0000036
tt0021156	nm0903049
tt0022100	nm0000485
tt0022158	nm0572851
tt0023382	nm0281808
tt0023969	nm0564970
tt0025316	nm0001008
tt0026752	nm0515979
tt0026778	nm0332539
tt0026778	nm0939992
tt0027996	nm0001008
tt0028772	nm0939992
tt0029843	nm0445033
tt0029843	nm0002031
tt0029870	nm0002031
tt0031210	nm0332539
tt0031381	nm0002030
tt0031381	nm0281808
tt0031381	nm0939992
tt0031867	nm0909825
tt0031983	nm0693281
tt0032138	nm0503777
tt0032138	nm0281808
tt0032138	nm0002030
tt0032138	nm0851537
tt0032138	nm0861703
tt0032138	nm0896542
tt0032551	nm0000406
tt0032599	nm0001328
tt0032904	nm0002030
tt0032976	nm0000033
tt0033238	nm0503777
tt0033870	nm0001379
tt0034167	nm0001328
tt0034240	nm0002545
tt0034248	nm0000033
tt0034272	nm0466099
tt0034583	nm0002031
tt0034881	nm0163229
tt0035140	nm0710924
tt0035432	nm0878338
tt0035575	nm0002031
tt0035896	nm0939992
tt0036613	nm0001008
tt0036723	nm0896533
tt0036855	nm0002030
tt0037059	nm0591486
tt0037382	nm0001328
tt0038109	nm0000033
tt0038355	nm0001328
tt0038369	nm0550892
tt0038559	nm0896533
tt0038787	nm0000033
tt0039192	nm0003836
tt0039192	nm0696247
tt0039504	nm0939992
tt0040051	nm0769874
tt0040051	nm0629999
tt0040051	nm0233071
tt0040051	nm0842611
tt0040051	nm0718467
tt0040051	nm0548529
tt0040051	nm0056582
tt0040051	nm0852279
tt0040051	nm0832254
tt0040051	nm0612322
tt0040051	nm0828720
tt0040051	nm0591173
tt0040051	nm0679013
tt0040051	nm0692872
tt0040051	nm0625680
tt0040051	nm0474539
tt0040051	nm0425593
tt0040051	nm1055550
tt0040051	nm0001239
tt0040051	nm0008030
tt0040051	nm0001486
tt0040051	nm0232401
tt0040051	nm0112939
tt0040051	nm0313221
tt0040051	nm1095959
tt0040051	nm0366578
tt0040051	nm3998298
tt0040051	nm0677951
tt0040051	nm0926012
tt0040051	nm0806915
tt0040051	nm0723629
tt0040051	nm0567170
tt0040051	nm0300818
tt0040051	nm1415576
tt0040051	nm0935636
tt0040051	nm2448858
tt0040051	nm0271653
tt0040051	nm0272214
tt0040051	nm0290866
tt0040051	nm0000989
tt0040051	nm0386619
tt0040051	nm2483528
tt0040051	nm0791027
tt0040051	nm0730265
tt0040051	nm0337770
tt0040051	nm0338719
tt0040051	nm0164044
tt0040525	nm0000080
tt0040536	nm0649097
tt0040552	nm0896533
tt0040746	nm0000033
tt0040806	nm0514822
tt0040897	nm0001379
tt0041038	nm0607612
tt0041038	nm0782690
tt0041038	nm0748979
tt0041038	nm0068691
tt0041038	nm0857949
tt0041038	nm0004573
tt0041038	nm0002179
tt0041038	nm0515317
tt0041452	nm0943758
tt0041546	nm0357607
tt0041716	nm0002045
tt0041716	nm0000037
tt0041951	nm0782690
tt0042041	nm0909825
tt0042192	nm0000581
tt0042279	nm0005789
tt0042816	nm0791041
tt0042889	nm0605925
tt0043014	nm0000697
tt0043228	nm0542720
tt0043228	nm0038906
tt0043228	nm5255343
tt0043228	nm0419265
tt0043228	nm0553077
tt0043228	nm0000736
tt0043228	nm0484645
tt0043228	nm0778513
tt0043228	nm0587277
tt0043228	nm0002137
tt0043228	nm0024120
tt0043228	nm0165493
tt0043228	nm0202297
tt0043228	nm0445650
tt0043228	nm0502766
tt0043228	nm0607612
tt0043228	nm0300818
tt0043228	nm0494110
tt0043228	nm0320637
tt0043228	nm0375712
tt0043228	nm0304681
tt0043228	nm0287931
tt0043228	nm0542737
tt0043228	nm0832254
tt0043228	nm0370821
tt0043228	nm0005898
tt0043228	nm0782682
tt0043228	nm0410320
